City,County
Dallastown,York
Dalmatia,Northumberland
Dalton,Lackawanna
Damascus,Wayne
Danielsville,Northampton
Danville,Montour
Darby,Delaware
Darlington,Beaver
Dauphin,Dauphin
Davidsville,Somerset
Dawson,Fayette
Dayton,Armstrong
De Young,Elk
Delmont,Westmoreland
Delta,York
Denver,Lancaster
Derrick City,Mckean
Derry,Westmoreland
Devon,Chester
Dilliner,Greene
Dillsburg,York
Dingmans Ferry,Pike
Donegal,Westmoreland
Donora,Washington
Dornsife,Northumberland
Douglassville,Berks
Dover,York
Downingtown,Chester
Doylesburg,Franklin
Doylestown,Bucks
Dravosburg,Allegheny
Dresher,Montgomery
Drexel Hill,Delaware
Driftwood,Cameron
Drumore,Lancaster
Drums,Luzerne
Dry Run,Franklin
Du Bois,Clearfield
Dublin,Bucks
Duke Center,Mckean
Dunbar,Fayette
Duncannon,Perry
Duncansville,Blair
Duquesne,Allegheny
Duryea,Luzerne
Dushore,Sullivan
Dysart,Cambria
Eagleville,Montgomery
East Berlin,Adams
East Brady,Clarion
East Earl,Lancaster
East Freedom,Blair
East Greenville,Montgomery
East Mc Keesport,Allegheny
East Millsboro,Fayette
East Petersburg,Lancaster
East Pittsburgh,Allegheny
East Smithfield,Bradford
East Springfield,Erie
East Stroudsburg,Monroe
East Waterford,Juniata
Easton,Northampton
Ebensburg,Cambria
Edinboro,Erie
Edinburg,Lawrence
Effort,Monroe
Eighty Four,Washington
Eldred,Mckean
Elizabeth,Allegheny
Elizabethtown,Lancaster
Elizabethville,Dauphin
Elkins Park,Montgomery
Elkland,Tioga
Elliottsburg,Perry
Ellwood City,Lawrence
Elverson,Chester
Elysburg,Northumberland
Emlenton,Venango
Emmaus,Lehigh
Emporium,Cameron
Enola,Cumberland
Enon Valley,Lawrence
Entriken,Huntingdon
Ephrata,Lancaster
Equinunk,Wayne
Erie,Erie
Erwinna,Bucks
Essington,Delaware
Etters,York
Evans City,Butler
Everett,Bedford
Export,Westmoreland
Exton,Chester
Factoryville,Wyoming
Fairchance,Fayette
Fairfield,Adams
Fairhope,Somerset
Fairless Hills,Bucks
Fairmount City,Clarion
Fairview,Erie
Fallentimber,Cambria
Falls,Wyoming
Falls Creek,Jefferson
Fannettsburg,Franklin
Farmington,Fayette
Farrell,Mercer
Fawn Grove,York
Fayette City,Fayette
Fayetteville,Franklin
Feasterville Trevose,Bucks
Felton,York
Fenelton,Butler
Finleyville,Washington
Fishertown,Bedford
Fleetwood,Berks
Flinton,Cambria
Flourtown,Montgomery
Fogelsville,Lehigh
Folcroft,Delaware
Folsom,Delaware
Fombell,Beaver
Ford City,Armstrong
Ford Cliff,Armstrong
Forest City,Susquehanna
Forksville,Sullivan
Fort Hill,Somerset
Fort Littleton,Fulton
Fort Loudon,Franklin
Fort Washington,Montgomery
Fountainville,Bucks
Frackville,Schuylkill
Franklin,Venango
Frederick,Montgomery
Fredericksburg,Lebanon
Fredericktown,Washington
Fredonia,Mercer
Freeburg,Snyder
Freedom,Beaver
Freeland,Luzerne
Freeport,Armstrong
Frenchville,Clearfield
Friedens,Somerset
Friendsville,Susquehanna
Fryburg,Clarion
Furlong,Bucks
Gaines,Tioga
Galeton,Potter
Gallitzin,Cambria
Gap,Lancaster
Garards Fort,Greene
Gardners,Adams
Garnet Valley,Delaware
Garrett,Somerset
Genesee,Potter
Georgetown,Beaver
Germansville,Lehigh
Gettysburg,Adams
Gibbon Glade,Fayette
Gibsonia,Allegheny
Gifford,Mckean
Gilbert,Monroe
Gilberton,Schuylkill
Gilbertsville,Montgomery
Gillett,Bradford
Girard,Erie
Girardville,Schuylkill
Gladwyne,Montgomery
Glassport,Allegheny
Glen Campbell,Indiana
Glen Hope,Clearfield
Glen Lyon,Luzerne
Glen Mills,Delaware
Glen Richey,Clearfield
Glen Rock,York
Glenmoore,Chester
Glenolden,Delaware
Glenshaw,Allegheny
Glenside,Montgomery
Glenville,York
Gordonville,Lancaster
Gouldsboro,Lackawanna
Grampian,Clearfield
Grand Valley,Warren
Grantville,Dauphin
Granville,Mifflin
Granville Summit,Bradford
Grapeville,Westmoreland
Grassflat,Clearfield
Gratz,Dauphin
Graysville,Greene
Great Bend,Susquehanna
Greeley,Pike
Green Lane,Montgomery
Greencastle,Franklin
Greensboro,Greene
Greensburg,Westmoreland
Greentown,Pike
Greenville,Mercer
Grindstone,Fayette
Grove City,Mercer
Guys Mills,Crawford
Gwynedd,Montgomery
Hadley,Mercer
Halifax,Dauphin
Hallstead,Susquehanna
Hamburg,Berks
Hamilton,Jefferson
Hanover,York
Harborcreek,Erie
Harford,Susquehanna
Harleysville,Montgomery
Harmony,Butler
Harrisburg,Dauphin
Harrison City,Westmoreland
Harrison Valley,Potter
Harrisonville,Fulton
Harrisville,Butler
Hartstown,Crawford
Harveys Lake,Luzerne
Harwick,Allegheny
Hastings,Cambria
Hatboro,Montgomery
Hatfield,Montgomery
Haverford,Montgomery
Havertown,Delaware
Hawk Run,Clearfield
Hawley,Pike
Hazleton,Luzerne
Hegins,Schuylkill
Hellertown,Northampton
Henryville,Monroe
Hereford,Berks
Herminie,Westmoreland
Hermitage,Mercer
Herndon,Northumberland
Herrick Center,Susquehanna
Hershey,Dauphin
Hesston,Huntingdon
Hickory,Washington
Highspire,Dauphin
Hiller,Fayette
Hilliards,Butler
Hillsgrove,Sullivan
Hilltown,Bucks
Holbrook,Greene
Hollidaysburg,Blair
Hollsopple,Somerset
Holmes,Delaware
Holtwood,Lancaster
Home,Indiana
Homer City,Indiana
Homestead,Allegheny
Honesdale,Wayne
Honey Brook,Chester
Honey Grove,Juniata
Hookstown,Beaver
Hooversville,Somerset
Hop Bottom,Susquehanna
Hopewell,Bedford
Hopwood,Fayette
Horsham,Montgomery
Houston,Washington
Houtzdale,Clearfield
Howard,Centre
Hughesville,Lycoming
Hummelstown,Dauphin
Hunker,Westmoreland
Hunlock Creek,Luzerne
Huntingdon,Huntingdon
Huntingdon Valley,Montgomery
Huntington Mills,Luzerne
Hustontown,Fulton
Hyde Park,Westmoreland
Hyndman,Bedford
Ickesburg,Perry
Imler,Bedford
Imperial,Allegheny
Indian Head,Fayette
Indiana,Indiana
Indianola,Allegheny
Industry,Beaver
Irvine,Warren
Irvona,Clearfield
Irwin,Westmoreland
Jackson,Susquehanna
Jackson Center,Mercer
James Creek,Huntingdon
Jamestown,Mercer
Jamison,Bucks
Jeannette,Westmoreland
Jefferson,Greene
Jenkintown,Montgomery
Jenners,Somerset
Jermyn,Lackawanna
Jersey Mills,Lycoming
Jersey Shore,Lycoming
Jessup,Lackawanna
Jim Thorpe,Carbon
Joffre,Washington
Johnsonburg,Elk
Johnstown,Cambria
Jones Mills,Westmoreland
Jonestown,Lebanon
Josephine,Indiana
Julian,Centre
Kane,Mckean
Kantner,Somerset
Karns City,Butler
Karthaus,Clearfield
Kempton,Berks
Kennerdell,Venango
Kennett Square,Chester
Kersey,Elk
King Of Prussia,Montgomery
Kingsley,Susquehanna
Kingston,Luzerne
Kintnersville,Bucks
Kinzers,Lancaster
Kirkwood,Lancaster
Kittanning,Armstrong
Klingerstown,Schuylkill
Knox,Clarion
Knoxville,Tioga
Kossuth,Clarion
Kresgeville,Monroe
Kulpmont,Northumberland
Kunkletown,Monroe
Kutztown,Berks
La Belle,Fayette
La Jose,Clearfield
Laceyville,Wyoming
Lackawaxen,Pike
Lafayette Hill,Montgomery
Lairdsville,Lycoming
Lake Ariel,Wayne
Lake City,Erie
Lake Como,Wayne
Lake Lynn,Fayette
Lakeville,Wayne
Lakewood,Wayne
Lancaster,Lancaster
Landenberg,Chester
Landisburg,Perry
Landisville,Lancaster
Langhorne,Bucks
Lansdale,Montgomery
Lansdowne,Delaware
Lansford,Carbon
Larimer,Westmoreland
Latrobe,Westmoreland
Laughlintown,Westmoreland
Laurys Station,Lehigh
Lawrence,Washington
Lawrenceville,Tioga
Lawton,Susquehanna
Le Raysville,Bradford
Lebanon,Lebanon
Leck Kill,Northumberland
Lecontes Mills,Clearfield
Leechburg,Armstrong
Leeper,Clarion
Leesport,Berks
Leetsdale,Allegheny
Lehigh Valley,Northampton
Lehighton,Carbon
Lemont Furnace,Fayette
Lemoyne,Cumberland
Lenhartsville,Berks
Lenoxville,Susquehanna
Leola,Lancaster
Levittown,Bucks
Lewis Run,Mckean
Lewisberry,York
Lewisburg,Union
Lewistown,Mifflin
Liberty,Tioga
Lickingville,Clarion
Ligonier,Westmoreland
Lilly,Cambria
Lincoln University,Chester
Linden,Lycoming
Line Lexington,Bucks
Linesville,Crawford
Lititz,Lancaster
Little Meadows,Susquehanna
Littlestown,Adams
Liverpool,Perry
Lock Haven,Clinton
Locust Gap,Northumberland
Loganton,Clinton
Long Pond,Monroe
Lopez,Sullivan
Loretto,Cambria
Loyalhanna,Westmoreland
Loysburg,Bedford
Loysville,Perry
Lucinda,Clarion
Lumberville,Bucks
Lurgan,Franklin
Luthersburg,Clearfield
Luzerne,Luzerne
Lykens,Dauphin
Lyndora,Butler
Macungie,Lehigh
Madera,Clearfield
Madisonburg,Centre
Mahaffey,Clearfield
Mahanoy City,Schuylkill
Mainesburg,Tioga
Malvern,Chester
Manchester,York
Manheim,Lancaster
Manns Choice,Bedford
Manor,Westmoreland
Mansfield,Tioga
Mapleton Depot,Huntingdon
Marble,Clarion
Marchand,Indiana
Marcus Hook,Delaware
Marianna,Washington
Marienville,Forest
Marietta,Lancaster
Marion Center,Indiana
Markleton,Somerset
Markleysburg,Fayette
Mars,Butler
Marsteller,Cambria
Martinsburg,Blair
Mary D,Schuylkill
Marysville,Perry
Masontown,Fayette
Matamoras,Pike
Mayport,Clarion
Mc Alisterville,Juniata
Mc Clellandtown,Fayette
Mc Clure,Snyder
Mc Connellsburg,Fulton
Mc Donald,Washington
Mc Kean,Erie
Mc Kees Rocks,Allegheny
Mc Sherrystown,Adams
Mc Veytown,Mifflin
Mcadoo,Schuylkill
Mckeesport,Allegheny
Meadville,Crawford
Mechanicsburg,Cumberland
Mechanicsville,Bucks
Media,Delaware
Mehoopany,Wyoming
Melcroft,Fayette
Mentcle,Indiana
Mercer,Mercer
Mercersburg,Franklin
Merion Station,Montgomery
Mertztown,Berks
Meshoppen,Susquehanna
Meyersdale,Somerset
Middleburg,Snyder
Middlebury Center,Tioga
Middleport,Schuylkill
Middletown,Dauphin
Midland,Beaver
Mifflin,Juniata
Mifflinburg,Union
Mifflintown,Juniata
Milan,Bradford
Milanville,Wayne
Mildred,Sullivan
Milford,Pike
Mill Creek,Huntingdon
Mill Hall,Clinton
Mill Run,Fayette
Millersburg,Dauphin
Millerstown,Perry
Millersville,Lancaster
Millerton,Tioga
Millheim,Centre
Millmont,Union
Mills,Potter
Millville,Columbia
Milroy,Mifflin
Milton,Northumberland
Mineral Point,Cambria
Minersville,Schuylkill
Mohnton,Berks
Mohrsville,Berks
Monaca,Beaver
Monessen,Westmoreland
Monongahela,Washington
Monroeton,Bradford
Monroeville,Allegheny
Mont Alto,Franklin
Mont Clare,Montgomery
Montgomery,Lycoming
Montgomeryville,Montgomery
Montoursville,Lycoming
Montrose,Susquehanna
Moosic,Lackawanna
Morgan,Allegheny
Morgantown,Berks
Morris,Tioga
Morrisdale,Clearfield
Morrisville,Bucks
Morton,Delaware
Moscow,Lackawanna
Moshannon,Centre
Mount Bethel,Northampton
Mount Carmel,Northumberland
Mount Holly Springs,Cumberland
Mount Jewett,Mckean
Mount Joy,Lancaster
Mount Morris,Greene
Mount Pleasant,Westmoreland
Mount Pleasant Mills,Snyder
Mount Pocono,Monroe
Mount Union,Huntingdon
Mount Wolf,York
Mountain Top,Luzerne
Mountville,Lancaster
Muir,Schuylkill
Muncy,Lycoming
Muncy Valley,Sullivan
Munson,Clearfield
Murrysville,Westmoreland
Myerstown,Lebanon
Nanticoke,Luzerne
Nanty Glo,Cambria
Narberth,Montgomery
Narvon,Lancaster
Natrona Heights,Allegheny
Nazareth,Northampton
Needmore,Fulton
Neelyton,Huntingdon
Nescopeck,Luzerne
Nesquehoning,Carbon
New Albany,Bradford
New Alexandria,Westmoreland
New Berlin,Union
New Bethlehem,Clarion
New Bloomfield,Perry
New Brighton,Beaver
New Castle,Lawrence
New Columbia,Union
New Cumberland,York
New Derry,Westmoreland
New Eagle,Washington
New Enterprise,Bedford
New Florence,Westmoreland
New Freedom,York
New Freeport,Greene
New Galilee,Beaver
New Holland,Lancaster
New Hope,Bucks
New Kensington,Westmoreland
New Milford,Susquehanna
New Millport,Clearfield
New Oxford,Adams
New Paris,Bedford
New Park,York
New Philadelphia,Schuylkill
New Providence,Lancaster
New Ringgold,Schuylkill
New Salem,Fayette
New Stanton,Westmoreland
New Tripoli,Lehigh
New Wilmington,Lawrence
Newburg,Cumberland
Newfoundland,Wayne
Newmanstown,Lebanon
Newport,Perry
Newtown,Bucks
Newtown Square,Delaware
Newville,Cumberland
Nicholson,Wyoming
Nicktown,Cambria
Normalville,Fayette
Norristown,Montgomery
North Bend,Clinton
North East,Erie
North Springfield,Erie
North Versailles,Allegheny
North Wales,Montgomery
Northampton,Northampton
Northern Cambria,Cambria
Northpoint,Indiana
Northumberland,Northumberland
Norwood,Delaware
Nottingham,Chester
Noxen,Wyoming
Nuremberg,Schuylkill
Oakdale,Allegheny
Oakland Mills,Juniata
Oakmont,Allegheny
Ohiopyle,Fayette
Oil City,Venango
Olanta,Clearfield
Old Forge,Lackawanna
Oley,Berks
Oliveburg,Jefferson
Olyphant,Lackawanna
Orangeville,Columbia
Orbisonia,Huntingdon
Orefield,Lehigh
Oreland,Montgomery
Orrstown,Franklin
Orrtanna,Adams
Orviston,Centre
Orwigsburg,Schuylkill
Osceola,Tioga
Osceola Mills,Clearfield
Osterburg,Bedford
Ottsville,Bucks
Oxford,Chester
Palm,Montgomery
Palmerton,Carbon
Palmyra,Lebanon
Paoli,Chester
Paradise,Lancaster
Parker,Armstrong
Parkesburg,Chester
Parkhill,Cambria
Patton,Cambria
Paupack,Pike
Paxinos,Northumberland
Peach Bottom,Lancaster
Peach Glen,Adams
Peckville,Lackawanna
Pen Argyl,Northampton
Penfield,Clearfield
Penn,Westmoreland
Penn Run,Indiana
Pennsburg,Montgomery
Pennsylvania Furnace,Centre
Pequea,Lancaster
Perkasie,Bucks
Perkiomenville,Montgomery
Perryopolis,Fayette
Petersburg,Huntingdon
Petrolia,Butler
Philadelphia,Philadelphia
Philipsburg,Centre
Phoenixville,Chester
Pine Grove,Schuylkill
Pipersville,Bucks
Pitcairn,Allegheny
Pitman,Schuylkill
Pittsburgh,Allegheny
Pittsfield,Warren
Pittston,Luzerne
Pleasant Hall,Franklin
Pleasant Mount,Wayne
Pleasantville,Venango
Plymouth,Luzerne
Plymouth Meeting,Montgomery
Pocono Lake,Monroe
Pocono Pines,Monroe
Pocono Summit,Monroe
Point Marion,Fayette
Polk,Venango
Port Allegany,Mckean
Port Carbon,Schuylkill
Port Matilda,Centre
Port Royal,Juniata
Port Trevorton,Snyder
Portage,Cambria
Portersville,Butler
Pottersdale,Clearfield
Pottstown,Montgomery
Pottsville,Schuylkill
Presto,Allegheny
Preston Park,Wayne
Prompton,Wayne
Prospect,Butler
Prospect Park,Delaware
Prosperity,Washington
Pulaski,Lawrence
Punxsutawney,Jefferson
Quakertown,Bucks
Quarryville,Lancaster
Queen,Bedford
Reading,Berks
Rebersburg,Centre
Rebuck,Northumberland
Rector,Westmoreland
Red Hill,Montgomery
Red Lion,York
Reeders,Monroe
Reedsville,Mifflin
Reinholds,Lancaster
Renfrew,Butler
Renovo,Clinton
Rew,Mckean
Reynoldsville,Jefferson
Rices Landing,Greene
Riceville,Crawford
Richboro,Bucks
Richfield,Juniata
Richland,Lebanon
Richlandtown,Bucks
Ridgway,Elk
Ridley Park,Delaware
Riegelsville,Bucks
Rillton,Westmoreland
Rimersburg,Clarion
Ringgold,Jefferson
Ringtown,Schuylkill
Rixford,Mckean
Roaring Branch,Tioga
Roaring Spring,Blair
Robertsdale,Huntingdon
Robesonia,Berks
Robinson,Indiana
Rochester,Beaver
Rochester Mills,Indiana
Rockton,Clearfield
Rockwood,Somerset
Rogersville,Greene
Rome,Bradford
Ronks,Lancaster
Rossiter,Indiana
Roulette,Potter
Royersford,Montgomery
Ruffs Dale,Westmoreland
Rural Valley,Armstrong
Russell,Warren
Russellton,Allegheny
Sabinsville,Tioga
Sacramento,Schuylkill
Saegertown,Crawford
Saint Benedict,Cambria
Saint Clair,Schuylkill
Saint Marys,Elk
Saint Thomas,Franklin
Salisbury,Somerset
Salix,Cambria
Saltsburg,Indiana
Sandy Lake,Mercer
Sarver,Butler
Saxonburg,Butler
Saxton,Bedford
Saylorsburg,Monroe
Sayre,Bradford
Scenery Hill,Washington
Schellsburg,Bedford
Schnecksville,Lehigh
Schuylkill Haven,Schuylkill
Schwenksville,Montgomery
Sciota,Monroe
Scotrun,Monroe
Scottdale,Westmoreland
Scranton,Lackawanna
Seanor,Somerset
Selinsgrove,Snyder
Sellersville,Bucks
Seminole,Armstrong
Seneca,Venango
Seven Valleys,York
Seward,Westmoreland
Sewickley,Allegheny
Shade Gap,Huntingdon
Shamokin,Northumberland
Shamokin Dam,Snyder
Sharon,Mercer
Sharon Hill,Delaware
Sharpsville,Mercer
Shavertown,Luzerne
Sheffield,Warren
Shelocta,Indiana
Shenandoah,Schuylkill
Shermans Dale,Perry
Shickshinny,Luzerne
Shinglehouse,Potter
Shippensburg,Cumberland
Shippenville,Clarion
Shirleysburg,Huntingdon
Shoemakersville,Berks
Shohola,Pike
Shrewsbury,York
Shunk,Sullivan
Sidman,Cambria
Sigel,Jefferson
Sinnamahoning,Cameron
Six Mile Run,Bedford
Slate Run,Lycoming
Slatington,Lehigh
Slickville,Westmoreland
Sligo,Clarion
Slippery Rock,Butler
Slovan,Washington
Smethport,Mckean
Smicksburg,Indiana
Smithfield,Fayette
Smithmill,Clearfield
Smithton,Westmoreland
Smock,Fayette
Smoketown,Lancaster
Snow Shoe,Centre
Snydersburg,Clarion
Somerset,Somerset
Souderton,Montgomery
South Fork,Cambria
South Gibson,Susquehanna
South Park,Allegheny
South Sterling,Wayne
Southampton,Bucks
Spangler,Cambria
Spartansburg,Crawford
Spraggs,Greene
Sprankle Mills,Jefferson
Spring Church,Armstrong
Spring City,Chester
Spring Creek,Warren
Spring Glen,Dauphin
Spring Grove,York
Spring House,Montgomery
Spring Mills,Centre
Spring Run,Franklin
Springboro,Crawford
Springdale,Allegheny
Springfield,Delaware
Springs,Somerset
Springville,Susquehanna
Sproul,Blair
Spruce Creek,Huntingdon
Stahlstown,Westmoreland
Starford,Indiana
Starlight,Wayne
Starrucca,Wayne
State College,Centre
Sterling,Wayne
Stevens,Lancaster
Stevensville,Bradford
Stewartstown,York
Stillwater,Columbia
Stoneboro,Mercer
Stoystown,Somerset
Strabane,Washington
Strasburg,Lancaster
Strattanville,Clarion
Strongstown,Indiana
Stroudsburg,Monroe
Sugar Grove,Warren
Sugar Run,Bradford
Sugarloaf,Luzerne
Summerhill,Cambria
Summerville,Jefferson
Summit Hill,Carbon
Sunbury,Northumberland
Susquehanna,Susquehanna
Sutersville,Westmoreland
Swarthmore,Delaware
Sweet Valley,Luzerne
Swiftwater,Monroe
Sycamore,Greene
Sykesville,Jefferson
Tafton,Pike
Tamaqua,Schuylkill
Tamiment,Pike
Tannersville,Monroe
Tarentum,Allegheny
Tarrs,Westmoreland
Taylor,Lackawanna
Telford,Montgomery
Temple,Berks
Templeton,Armstrong
Terre Hill,Lancaster
Thomasville,York
Thompson,Susquehanna
Thompsontown,Juniata
Thorndale,Chester
Thornton,Delaware
Three Springs,Huntingdon
Tidioute,Warren
Timblin,Jefferson
Tioga,Tioga
Tionesta,Forest
Titusville,Crawford
Tobyhanna,Monroe
Todd,Huntingdon
Topton,Berks
Toughkenamon,Chester
Towanda,Bradford
Tower City,Schuylkill
Townville,Crawford
Trafford,Westmoreland
Transfer,Mercer
Tremont,Schuylkill
Trevorton,Northumberland
Trexlertown,Lehigh
Trout Run,Lycoming
Troutville,Clearfield
Troy,Bradford
Tunkhannock,Wyoming
Turbotville,Northumberland
Turtle Creek,Allegheny
Turtlepoint,Mckean
Tuscarora,Schuylkill
Tyler Hill,Wayne
Tyrone,Blair
Ulster,Bradford
Ulysses,Potter
Union City,Erie
Union Dale,Susquehanna
Uniontown,Fayette
Unityville,Lycoming
University Park,Centre
Upper Black Eddy,Bucks
Upper Darby,Delaware
Upperstrasburg,Franklin
Utica,Venango
Valencia,Butler
Valier,Jefferson
Valley Forge,Chester
Valley View,Schuylkill
Vanderbilt,Fayette
Vandergrift,Westmoreland
Venango,Crawford
Venetia,Washington
Venus,Venango
Verona,Allegheny
Villanova,Delaware
Vintondale,Cambria
Volant,Lawrence
Vowinckel,Clarion
Wallingford,Delaware
Walnut Bottom,Cumberland
Walnutport,Northampton
Waltersburg,Fayette
Wampum,Lawrence
Wapwallopen,Luzerne
Warfordsburg,Fulton
Warminster,Bucks
Warren,Warren
Warren Center,Bradford
Warrendale,Allegheny
Warrington,Bucks
Warriors Mark,Huntingdon
Washington,Washington
Washington Boro,Lancaster
Washington Crossing,Bucks
Waterfall,Fulton
Waterford,Erie
Waterville,Lycoming
Watsontown,Northumberland
Wattsburg,Erie
Waymart,Wayne
Wayne,Delaware
Waynesboro,Franklin
Waynesburg,Greene
Weatherly,Carbon
Weedville,Elk
Wellersburg,Somerset
Wells Tannery,Fulton
Wellsboro,Tioga
Wellsville,York
Wernersville,Berks
West Alexander,Washington
West Chester,Chester
West Decatur,Clearfield
West Finley,Washington
West Grove,Chester
West Middlesex,Mercer
West Mifflin,Allegheny
West Milton,Union
West Newton,Westmoreland
West Salisbury,Somerset
West Springfield,Erie
West Sunbury,Butler
Westfield,Tioga
Westmoreland City,Westmoreland
Westover,Clearfield
Westport,Clinton
Wexford,Allegheny
White,Fayette
White Haven,Luzerne
Whitehall,Lehigh
Widnoon,Armstrong
Wilburton,Columbia
Wilcox,Elk
Wilkes Barre,Luzerne
Williamsburg,Blair
Williamsport,Lycoming
Williamstown,Dauphin
Willow Grove,Montgomery
Willow Hill,Franklin
Willow Street,Lancaster
Wilmerding,Allegheny
Winburne,Clearfield
Wind Gap,Northampton
